image_id,video_prompt
7,"Subtle flicker and sway of red lanterns, gentle rustle of leaves, slow pan of camera across the scene, soft glint of light on the railings, subtle head turns and gestures from the patrons."
8,"A slight breath-like expansion and contraction of the character's chest, a subtle shift in the light from the desk lamp, casting a gentle flicker on the desk. The moon in the window glows softly, perhaps with a very faint, almost imperceptible pulsation. A few small, luminous dust motes gently drift in the beam of light from the lamp. The character's hair moves with a hint of sway as if very gently stirred by air."
9,"Subtle hair sway, occasional eye blinks, gentle fabric ripple on the sweater and skirt, very slight chest rise and fall simulating breathing."
10,"Glowing blue energy pulsates and crackles from a massive, multi-layered circular structure, streams flowing into turquoise water, illuminating its surface. Waterfalls cascade from rocky cliffs."
11,"Subtle shimmering of stars within the large sphere, gentle wisps of clouds drifting past the upper structures, a soft glint of light shifting across the golden domes and white facades, and a very slow, almost imperceptible outward zoom of the camera."
12,"A subtle camera zoom out reveals the full scope of the woman's beauty. Her long brown hair gently sways to the soft breeze, while the delicate floral patterns on her dress shimmer and reflect the light. Her blue eyes gently blink, and her lips subtly part, as if she is about to speak. The light around her flickers, creating a dreamlike glow."
13,Subtle head tilts; occasional eye blinks; chests slightly rise and fall with breathing; faint steam rises from coffee cups; gentle swaying of the woman's hair; very light reflection shifts on the window pane.
14,"Subtle swaying of the child's dress and hair in a gentle breeze, soft flickering of stars in the night sky, blooming and slight swaying of the white flowers, very subtle shimmering/pulsing from the golden parts of the sphere as if it's a living entity, a slow, gentle zoom out."
15,"A mermaid with long silver hair submerged in water, her iridescent scales glimmering with vibrant hues of pink, purple, and blue. Her top is adorned with pearls, and matching pearl jewelry graces her neck, ears, and arms. Bubbles rise around her, and streaks of light in similar iridescent colors dance through the water.

subtle animation:
The mermaid's silver hair gently sways and floats in the water currents. Small, shimmering underwater particles drift through the scene. The bubbles around her float upwards at varying speeds. The iridescent light streaks subtly pulse and shift, creating a dynamic glow. Her tail gently undulates, and her fins softly fan out. The camera slowly zooms in."
16,"Subtle breeze sways leaves and hanging plants, casting shifting shadows. Distant ocean waves gently ripple. Sunlight subtly flickers on cobblestones. A gentle shimmer on the water in the distance."
17,"A subtle sway of the girl's body, her hair gently shifts, a slight glint on the screen, and the light from the window subtly brightens then dims."
18,"Subtle shimmer and sway in the light reflections on hair and dress. Glimmering highlights on the glass and liquid inside. Gentle rise and fall of the shoulders, indicating subtle breathing."
19,"The girl's shoulders subtly rise and fall with gentle breaths. Her blonde curls softly sway, and the ribbons on her hat delicately flutter. The cat's tail twitches slightly. A subtle, slow zoom out of the camera."
21,"The human figure's hair subtly sways. Small debris particles around the giant robot and human float and drift slightly. The robot's eyes softly glow with a very subtle flicker. A faint shimmer or ripple appears on the robot's metallic surfaces, as if reflecting light from an unseen source."
22,"The dragon breathes softly, causing wisps of smoke to curl gently upwards and dissipate. Its scales subtly shimmer and shift as if breathing, while its eyes glow with a soft, pulsating light. The gold coins and gems beneath it twinkle individually from an imperceptible ambient light source. Around the cave, a few tiny specks of light gently drift down from the ceiling. A very slow, almost unnoticeable zoom in on the dragon concludes the scene."
23,"A camera slowly pans right, revealing the vibrant scene. Raindrops gently fall from the sky, creating subtle ripples on the lake and adding a shimmering effect to the reflections. The light breeze causes the leaves on the trees to subtly rustle and the grass in the foreground to sway gently. The balloons tied to the bicycle gently bob and sway with the air currents. The small flowers in the meadow gently shimmer in the light."
24,"A gentle breeze causes the woman's long, dark hair to subtly sway and her flowing beige garments to ripple slightly. The fine golden particles in the air shimmer and gently drift, especially around the light source near the pyramid, creating a soft, glistening effect. Sunlight subtly glints off her intricate golden jewelry, catching the light as if the sun itself is shifting. Her chest subtly rises and falls, indicating breathing."
25,"Subtle sway of the sheer veil and light shimmer of the golden fabric, glittering particles around the figure, gentle blinking of eyes, and a very slow, almost imperceptible zoom in."
26,"Subtle head tilt, slow blink, gentle hair sway, light ripple effect across collar, soft glow pulsing from behind."
